==== START logs for container controller of pod ingress-nginx/ingress-controller-ingress-nginx-controller-585d79996-9ncg7 ====
-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       1.1.1-20220413170248-b60724ed1
2022-07-18T01:46:01.367466Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T02:17:01.304343Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T02:45:31.034822Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T03:17:39.048025Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T03:45:11.711990Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T04:15:27.173194Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T04:48:14.913381Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T05:18:55.295927Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T05:48:09.634704Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T06:15:33.275698Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T06:45:30.210864Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T07:16:10.566468Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T07:45:54.876784Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T08:16:49.756646Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T08:46:37.091106Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T09:16:12.113177Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T09:45:32.798947Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T10:14:33.791543Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T10:44:24.659920Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T11:17:14.157590Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T11:47:44.154619Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T12:17:21.324596Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T12:25:41.205543Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-18T12:25:41.335992Z	info	cache	generated new workload certificate	latency=129.690788ms ttl=23h59m59.664019468s
2022-07-18T12:25:41.336143Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-18T12:45:16.608709Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T13:14:46.810356Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T13:45:29.314918Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T14:15:55.895968Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T14:48:02.807655Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T15:16:51.868136Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T15:48:47.884862Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T16:17:17.742362Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T16:47:57.622374Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T17:15:59.352123Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T17:44:30.092712Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T18:15:32.144305Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T18:45:41.296430Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T19:16:56.140198Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T19:45:36.756774Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T20:14:46.062150Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T20:42:34.736658Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T21:12:43.294594Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T21:43:14.978327Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T22:14:27.096106Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T22:46:55.059774Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T23:15:44.366539Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-18T23:45:27.546047Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T00:14:57.574396Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T00:25:41.169295Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-19T00:25:41.630373Z	info	cache	generated new workload certificate	latency=460.207616ms ttl=23h59m59.369639738s
2022-07-19T00:25:41.630516Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-19T00:47:08.854006Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T01:19:12.261237Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T01:50:24.486068Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T02:19:05.477266Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T02:50:41.767311Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T03:23:46.213451Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T03:52:50.640045Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T04:21:00.940432Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T04:48:15.776436Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T05:20:47.734544Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T05:53:41.979645Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T06:22:03.927679Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T06:49:39.915735Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T07:18:47.232150Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T07:47:13.023543Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T08:16:41.825966Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T08:47:20.912127Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T09:18:09.473864Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T09:47:31.464342Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T10:17:47.262849Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T10:46:22.407516Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T11:15:51.197877Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T11:48:44.936336Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T12:18:33.038840Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T12:25:41.316229Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-19T12:25:41.634882Z	info	cache	generated new workload certificate	latency=317.924513ms ttl=23h59m59.365129312s
2022-07-19T12:25:41.635023Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-19T12:46:35.681737Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T13:19:27.557747Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T13:47:05.779013Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T14:16:03.794199Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T14:45:40.139335Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T15:18:24.975635Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T15:47:42.039416Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T16:16:25.474758Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T16:44:52.679258Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T17:13:23.512511Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T17:45:27.239378Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T18:14:05.147238Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T18:46:34.367392Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T19:14:20.490997Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T19:45:55.456839Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T20:15:12.065507Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T20:42:34.647368Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T21:11:23.446878Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T21:44:09.719603Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T22:11:54.206474Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T22:43:10.748915Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T23:12:44.099704Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-19T23:41:37.064322Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T00:08:48.923198Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T00:25:41.318197Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-20T00:25:41.547545Z	info	cache	generated new workload certificate	latency=228.629507ms ttl=23h59m59.452471565s
2022-07-20T00:25:41.548068Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-20T00:37:26.079743Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T01:08:15.541515Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T01:37:00.110777Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T02:06:00.214651Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T02:35:29.172837Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T03:05:45.935060Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T03:33:34.622417Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T04:00:49.517395Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T04:31:55.066528Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T05:01:27.053809Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T05:31:06.483437Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T06:01:12.959291Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T06:30:51.547581Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T07:01:28.915121Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T07:30:07.346459Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T08:00:01.497212Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T08:30:30.959333Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T09:03:21.648171Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T09:31:41.812003Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T10:04:51.719007Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T10:34:06.314903Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T11:04:29.204157Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T11:31:51.119840Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T12:04:27.581239Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T12:25:41.274765Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-20T12:25:41.778004Z	info	cache	generated new workload certificate	latency=502.480748ms ttl=23h59m59.22200691s
2022-07-20T12:25:41.778148Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-20T12:32:14.347871Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T13:00:42.727650Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T13:29:06.113449Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T14:01:46.352946Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T14:34:27.688343Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T15:06:24.656001Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T15:37:19.972589Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T16:04:48.458212Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T16:32:04.090113Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T17:03:20.563057Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T17:34:41.108462Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T18:04:41.766045Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T18:37:19.160597Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T19:09:57.395126Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T19:40:23.971166Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T20:11:35.129316Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T20:40:59.230802Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T21:09:48.448645Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T21:41:09.260987Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T22:12:13.875586Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T22:43:46.471215Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T23:14:53.173063Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-20T23:43:36.782265Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T00:15:24.187734Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T00:25:41.390653Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-21T00:25:41.537510Z	info	cache	generated new workload certificate	latency=146.113925ms ttl=23h59m59.462502197s
2022-07-21T00:25:41.537627Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-21T00:45:55.091559Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T01:14:50.299591Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T01:44:14.353563Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T02:13:18.885885Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T02:40:59.484305Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T03:13:56.613292Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T03:42:14.505647Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T04:09:42.159973Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T04:42:06.294280Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T05:10:51.531072Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T05:42:46.659846Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T06:10:42.139398Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T06:40:36.031790Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T07:12:44.996137Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T07:44:52.750731Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T08:13:21.446643Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T08:44:14.008402Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T09:16:48.745590Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T09:48:16.836629Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T10:18:43.727466Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T10:46:01.955077Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T11:17:17.061407Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T11:47:46.584449Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T12:17:41.044162Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T12:25:41.269410Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-21T12:25:41.623999Z	info	cache	generated new workload certificate	latency=353.75758ms ttl=23h59m59.376011297s
2022-07-21T12:25:41.624164Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-21T12:50:37.447285Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T13:20:46.460315Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T13:49:52.697241Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T14:17:10.463500Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T14:45:26.109469Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T15:17:19.697319Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T15:46:20.479769Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T16:14:15.754412Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T16:45:26.916470Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T17:17:10.780204Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T17:46:56.546844Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T18:19:54.955492Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T18:52:26.132380Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T19:24:45.749621Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T19:57:35.086526Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T20:25:43.812252Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T20:56:51.409328Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T21:28:31.868997Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T21:59:40.130828Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T22:31:51.069898Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T23:04:22.292819Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-21T23:33:02.120076Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T00:04:47.299323Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T00:25:41.312234Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-22T00:25:41.457650Z	info	cache	generated new workload certificate	latency=144.584514ms ttl=23h59m59.542360558s
2022-07-22T00:25:41.457792Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-22T00:33:24.457350Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T01:00:40.454590Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T01:28:02.413977Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T01:58:15.996254Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T02:28:40.538010Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T03:01:35.287594Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T03:29:24.563882Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T03:58:24.980619Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T04:29:39.848619Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T05:01:48.232005Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T05:32:06.701024Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T06:02:29.662515Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T06:30:36.846406Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T06:58:56.451498Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T07:29:13.287101Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T08:02:06.438664Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T08:31:37.567281Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T09:01:54.356310Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T09:33:41.429036Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T10:02:55.641230Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T10:30:34.072447Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T11:02:03.491133Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T11:30:21.453075Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T12:02:03.259597Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T12:25:41.230134Z	info	ads	XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:
2022-07-22T12:25:41.635561Z	info	cache	generated new workload certificate	latency=404.711227ms ttl=23h59m59.3644552s
2022-07-22T12:25:41.635732Z	info	ads	SDS: PUSH for node:ingress-controller-ingress-nginx-controller-585d79996-9ncg7.ingress-nginx resources:1 size:9.2kB resource:default
2022-07-22T12:32:54.061021Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T13:01:08.964449Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T13:30:28.765713Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T13:58:17.817606Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T14:28:56.820651Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T14:57:26.746879Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T15:25:47.206069Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T15:56:43.908890Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T16:29:36.021591Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T17:01:52.966197Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T17:34:45.956291Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T18:04:17.193156Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T18:32:40.530968Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T19:00:26.750707Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
2022-07-22T19:28:05.789934Z	info	xdsproxy	connected to upstream XDS server: istiod.istio-system.svc:15012
